,file name,FINAL SINGLE POINT ENERGY,Final Gibbs free energy
0,isomer1_embed_11.inp.out,-1724966.6423997157,-1724768.2785068122
1,isomer1_embed_12.inp.out,-1724941.0871387885,-1724750.631259458
2,isomer1_embed_14.inp.out,-1724967.1151640555,-1724767.7805784207
3,isomer1_embed_17.inp.out,-1724967.1165319588,-1724767.7293736862
4,isomer1_embed_27.inp.out,-1724840.795825471,-1724709.8817662615
5,isomer1_embed_31.inp.out,-1724846.4036179553,-1724714.0583406638
6,isomer1_embed_44.inp.out,-1724966.7982684746,-1724768.069232561
7,isomer1_embed_4.inp.out,-1724967.1205980252,-1724767.781833439
8,isomer1_embed_8.inp.out,-1724967.156045893,-1724767.866421652
