,file name,FINAL SINGLE POINT ENERGY,Final Gibbs free energy
0,complex3_embed_0.inp.out,-1749630.4312824209,-1749418.0992812377
1,complex4_embed_0.inp.out,-1749630.7658253415,-1749416.6142184385
2,complex5_embed_0.inp.out,-1798947.2003222676,-1798707.991034503
3,complex6_embed_0.inp.out,-1798952.8140535508,-1798707.922636022
4,complex7_embed_2.inp.out,-2317405.6789708436,-2317048.1857982357
5,complex8_embed_0.inp.out,-2317408.136569254,
6,isomer1_embed_0.inp.out,-1724975.016344412,-1724776.3030291535
7,isomer2_embed_0.inp.out,-1724971.5866894717,-1724772.826315539
