,Complex
0,[C:1]([c:2]1[c:3]([H:45])[c:4]([C:5]([H:46])([H:47])[H:48])[c:6]([N:7]2[C:8]([H:49])=[C:9]([H:50])[N:10]3[c:38]4[c-:30](->[Ni:12]5([C:11]23)[O:13][C:14](=[O:15])[C:16]([c:17]2[c:18]([H:52])[c:19]([H:53])[c:20]([H:54])[c:21]([H:55])[c:22]2[H:56])([H:51])[N:23]5[c:24]2[c:25]([H:57])[c:26]([H:58])[c:27]([H:59])[c:28]([H:60])[c:29]2[H:61])[c:31]([H:62])[n:32][c:33]([N:34]([C:35]([H:63])([H:64])[H:65])[C:36]([H:66])([H:67])[H:68])[n:37]4)[c:39]([C:40]([H:69])([H:70])[H:71])[c:41]1[H:72])([H:42])([H:43])[H:44]
1,[O:1]=[C:2]1[O:3][Ni:4]2([N:5]([C:6]([c:7]3[c:8]([H:47])[c:9]([H:48])[c:10]([H:49])[c:11]([H:50])[c:12]3[H:51])([C:13]([c:14]3[c:15]([H:53])[c:16]([H:54])[c:17]([H:55])[c:18]([H:56])[c:19]3[H:57])([N-:20]->2[S:21](=[O:22])(=[O:23])[c:24]2[c:25]([H:58])[c:26]([H:59])[c:27]([F:28])[c:29]([H:60])[c:30]2[H:61])[H:52])[H:46])[H:45])[N:31]([c:32]2[c:33]([H:62])[c:34]([H:63])[c:35]([H:64])[c:36]([H:65])[c:37]2[H:66])[C:38]1([c:39]1[c:40]([H:68])[c:41]([H:69])[c:42]([H:70])[c:43]([H:71])[c:44]1[H:72])[H:67]
