,file name,FINAL SINGLE POINT ENERGY,Final Gibbs free energy
0,isomer1_embed_11.inp.out,-1725261.4722117481,-1725063.0883846006
1,isomer1_embed_12.inp.out,-1725246.0428649085,-1725048.470248691
2,isomer1_embed_14.inp.out,-1725260.225176925,-1725061.9800154539
3,isomer1_embed_17.inp.out,-1725260.2265817444,
4,isomer1_embed_27.inp.out,-1725221.9304151195,-1725030.5164004392
5,isomer1_embed_31.inp.out,-1725222.359723874,-1725032.130604591
6,isomer1_embed_44.inp.out,-1725260.2261910485,-1725061.961692191
7,isomer1_embed_4.inp.out,-1725260.2081415213,-1725061.9650179886
8,isomer1_embed_8.inp.out,-1725260.2682711408,-1725062.0166619793
