,file name,FINAL SINGLE POINT ENERGY,Final Gibbs free energy
0,complex3_embed_6.inp.out,-1749605.8068359573,-1749391.1264343818
1,complex4_embed_2.inp.out,-1749605.51278055,-1749388.7034338801
2,complex5_embed_7.inp.out,-1798920.3629759212,-1798680.815062984
3,complex6_embed_1.inp.out,-1798926.773469256,-1798681.2386315588
4,complex7_embed_1.inp.out,-2317377.3584943945,-2317013.465474262
5,complex8_embed_1.inp.out,-2317380.0955991205,-2317013.468047049
6,isomer1_embed_7.inp.out,-1724946.876965992,-1724747.3974545773
7,isomer2_embed_23.inp.out,-1724943.0548073812,-1724745.676636647
