,file name,FINAL SINGLE POINT ENERGY,Final Gibbs free energy
0,complex3_embed_6.inp.out,-1749632.601628788,-1749417.8613298251
1,complex4_embed_2.inp.out,-1749632.8411055661,-1749416.445042012
2,complex5_embed_7.inp.out,-1798947.2683668358,-1798707.9589687933
3,complex6_embed_1.inp.out,-1798952.8381981598,-1798708.1538730885
4,complex7_embed_1.inp.out,-2317408.967762471,-2317045.2133508534
5,complex8_embed_1.inp.out,-2317408.64058435,-2317044.963288517
6,isomer1_embed_7.inp.out,-1724975.215939244,-1724775.9703238816
7,isomer2_embed_23.inp.out,-1724971.505147035,-1724773.529125619
