,file name,TOTAL ENERGY
144,isomer1_embed_0.out,-51977.49603322043
145,isomer1_embed_10.out,-51910.58245584903
146,isomer1_embed_11.out,-51910.57949584139
147,isomer1_embed_12.out,-51910.57892951765
148,isomer1_embed_13.out,-51910.321972798134
149,isomer1_embed_14.out,-51907.02019552769
150,isomer1_embed_15.out,-51898.831537764636
151,isomer1_embed_16.out,-51977.84430654185
152,isomer1_embed_17.out,-51977.84962204006
153,isomer1_embed_18.out,-51976.918475991915
154,isomer1_embed_19.out,-51976.93650875445
155,isomer1_embed_1.out,-51978.49924891254
156,isomer1_embed_20.out,-51968.01735070567
157,isomer1_embed_21.out,-51976.932221506286
158,isomer1_embed_22.out,-51968.010645121896
159,isomer1_embed_23.out,-51968.01582792329
160,isomer1_embed_2.out,-51978.49196552664
161,isomer1_embed_3.out,-51968.89940600687
162,isomer1_embed_4.out,-51977.50564383138
163,isomer1_embed_5.out,-51968.90395981521
164,isomer1_embed_6.out,-51977.503759355335
165,isomer1_embed_7.out,-51977.508334792656
166,isomer1_embed_8.out,-51910.58233297775
167,isomer1_embed_9.out,-51907.17523402823
168,isomer2_embed_0.out,-51970.387982793916
169,isomer2_embed_10.out,-51903.76990284875
170,isomer2_embed_11.out,-51908.896894404825
171,isomer2_embed_12.out,-51908.896866581075
172,isomer2_embed_13.out,-51908.93076805976
173,isomer2_embed_14.out,-51908.92571936708
174,isomer2_embed_15.out,-51908.927117422
175,isomer2_embed_16.out,-51970.01273712828
176,isomer2_embed_17.out,-51970.02448723305
177,isomer2_embed_18.out,-51970.02452566295
178,isomer2_embed_19.out,-51964.285411711644
179,isomer2_embed_1.out,-51964.45296153871
180,isomer2_embed_20.out,-51975.24114596228
181,isomer2_embed_21.out,-51970.01482086164
182,isomer2_embed_22.out,-51970.00735770447
183,isomer2_embed_23.out,-51975.24103531487
184,isomer2_embed_2.out,-51964.438069255404
185,isomer2_embed_3.out,-51964.4760679487
186,isomer2_embed_4.out,-51970.38912229755
187,isomer2_embed_5.out,-51964.48898913837
188,isomer2_embed_6.out,-51970.39105546829
189,isomer2_embed_7.out,-51970.39029013886
190,isomer2_embed_8.out,-51908.92318735258
191,isomer2_embed_9.out,-51903.76710431862
