,file name,FINAL SINGLE POINT ENERGY,Final Gibbs free energy
0,complex3_embed_0.inp.out,-1749603.666616845,-1749391.0356965805
1,complex4_embed_0.inp.out,-1749604.3486038528,-1749390.4112623744
2,complex5_embed_0.inp.out,-1798920.3295705372,-1798680.3555381433
3,complex6_embed_0.inp.out,-1798926.7312895316,-1798681.21848852
4,complex7_embed_2.inp.out,-2317375.2008802528,-2317013.7196154073
5,complex8_embed_0.inp.out,-2317376.3069195705,-2317011.898396036
6,isomer1_embed_0.inp.out,-1724946.849482271,-1724748.3759293612
7,isomer2_embed_0.inp.out,-1724943.2346965508,-1724745.7021135122
